lid,rid
403101,443604
64846,860539
172465,1013447
609334,1210449
64790,634606
164122,737304
532152,806628
310150,350060
615745,940949
214249,1138185
473826,643202
764143,913551
370991,1003394
228540,641047
474248,503510
1022702,1119211
763069,952626
281813,659081
591381,615745
249495,1106068
336140,657984
197645,297216
586081,762330
154217,337548
128735,1172518
697870,1153215
49235,151827
376504,1001298
781766,1077555
302931,724592
457176,1056147
49235,906496
466923,892699
49983,474248
158654,902740
880265,1026192
350528,955197
188132,784606
63417,325171
398934,878347
685492,991357
524,1010517
102089,284933
947172,1016351
153055,695546
256056,336140
116937,1173287
762330,931655
31449,769158
300421,688583
111675,1131810
199230,300967
836413,1042554
413184,945616
641126,1067048
702173,1099381
63135,312805
476935,1136369
68296,1036926
84492,282566
982057,991052
895242,1064412
560383,906496
74481,1146042
661711,1141864
711415,1045416
151704,1106153
1033086,1064412
310150,418195
955197,984303
364606,971513
610537,1130826
701771,1050553
382431,569825
1123797,1195986
284933,1050636
110355,856645
295618,693296
153920,1015046
50663,61849
150791,239428
36659,1101861
405512,1176622
919604,919642
164122,537793
955539,1133781
714780,1131008
29005,499657
502115,855785
78301,296919
68296,1050553
61849,698552
19571,838529
116937,861210
701796,756693
467265,1064412
146938,282566
550263,759535
206476,1120760
19706,880309
180628,860031
270354,835116
151827,574266
586081,931655
312805,569381
214249,1036926
653815,1106068
568667,982836
475864,959788
1012545,1176892
1071486,1200526
179870,288826
40253,858374
618141,831517
206476,242741
54473,1042554
287984,412257
474444,809314
778978,932308
281813,915812
458492,594216
149609,1173791
242741,1136513
1026192,1106842
545887,559932
330488,1017233
281809,361657
303238,521109
72067,901351
286055,689358
519141,991583
211912,1185370
9091,386383
543647,966235
120380,544528
155048,989839
219123,853844
128859,312805
426139,509315
99025,792263
906496,973102
515093,831517
155074,918821
519141,781766
551867,659081
543658,581729
4216,18214
410735,1064412
9213,347126
672324,1060500
259785,1058184
161758,425879
369253,781486
148631,689358
242741,1071486
166742,1181858
139024,405512
96086,322825
151704,243953
1120760,1195485
796517,1166277
481647,1111763
529281,1106153
711415,865189
47884,594216
128859,1126736
615745,1120760
155168,567826
1478,557660
231714,866050
164255,962196
30549,476435
968858,1195986
425879,1188969
739278,988475
99025,290170
348612,1133381
963160,1154436
470729,561426
149609,459931
723126,1182984
67134,1139427
856645,1206040
531740,1077593
560842,1003037
521874,676431
591381,1136513
169836,197645
991052,994513
347126,1050553
49235,64846
279844,653981
99025,1124481
220948,1117350
21192,219123
161758,193817
609334,1174557
485028,712575
207630,354468
408502,913052
658025,1103661
479820,650658
1478,919972
1042554,1121690
303333,737304
861210,1173287
88606,691063
418013,503510
796994,1090221
591381,1071486
239428,483825
380675,1188969
394097,794059
49177,1150933
318752,852267
148648,281490
918420,962196
574266,906496
459254,687784
99025,641047
335923,529661
474248,852031
21192,350528
106852,1113657
468076,611017
256056,1059756
117265,1169011
644180,737955
9091,1010517
966235,1167210
411167,797640
752497,1090221
643202,820274
155048,533106
188132,1098976
807373,1204844
155976,844575
65676,128735
128735,1073850
305889,1070571
634606,704160
54473,476435
86542,1027875
521077,1208709
69296,569825
372805,564072
119328,1045416
172545,193817
916774,1130824
551867,915812
545887,1026192
364167,896355
1071486,1136513
714849,776624
49695,780644
120380,778978
102089,354468
689358,1082548
153096,701771
13020,631205
4943,1172518
295547,534812
111904,886603
189336,473033
891716,1011105
193817,298875
18852,935955
265361,1147790
80932,344552
317453,1139427
594216,850024
207630,1172518
225224,567826
303333,537793
614766,870495
96629,386876
234753,923173
224432,772166
220948,458492
1154436,1210725
169045,885085
919604,919972
413249,959788
49983,53560
581486,878347
312805,315859
30549,1131772
757704,1115910
20960,836720
444241,652202
561426,571435
550140,795932
955539,1153215
38480,229418
147746,155168
474248,742514
243953,398934
3983,233860
177332,1042264
626933,648794
62204,763705
297216,453815
363047,1117350
425879,884057
177477,1113657
431445,596035
412257,1180088
25988,69296
69596,1090221
282566,598728
299703,1121690
99025,265412
324575,820898
911606,1210449
178503,863965
65676,224870
197645,623181
180628,957710
228540,780644
50663,994513
839,948060
245660,269899
312805,638687
287984,1180088
52035,878347
93475,772060
122433,1003394
1069116,1166277
25988,569825
93475,973102
631205,906496
744732,796517
64846,574266
248488,407300
450050,991357
521003,973333
497272,703699
615745,1200526
611017,1185370
455203,1206499
344552,692722
756693,1150933
118448,456797
3983,349989
889669,1004259
510622,1195986
1077555,1206040
18043,953298
102089,1172518
50739,1160846
973208,977639
284475,468106
60252,968858
767133,1017233
672324,809314
532152,557660
85292,957710
380675,884057
197332,791804
341597,760342
504914,796517
751312,1130824
751312,1013131
300125,811557
775135,775493
772060,860539
757704,974408
416758,1011105
53560,885085
860031,984303
317103,1081884
178360,1107192
290170,1191001
642539,1134202
158213,1139427
341280,904867
168378,172545
603533,1110120
643823,1073537
113066,943488
844030,1047596
68345,474248
551867,1106842
16240,1185370
555754,723126
885857,1198374
577588,864807
687784,963160
582595,902238
117265,963483
323761,1000736
110355,991583
151704,878347
354468,762330
1122472,1146042
106852,760342
685058,707753
70469,312805
424911,996739
547526,959248
110355,781766
714780,784606
1113657,1146042
483825,901351
363047,458492
418013,852031
446415,1069116
413184,1022702
425879,830684
453815,772166
693296,763705
680302,1052740
647958,1154436
47884,224905
238742,1105342
235634,1078409
637302,1001898
49983,68345
503510,852031
749745,949231
161758,1188969
70469,1126736
109559,581729
206476,1136513
413184,786727
571388,672110
791804,920752
361657,1160846
760342,1146042
190900,581962
348612,570612
74481,1113657
302426,1166074
220928,796994
250251,310150
437288,451008
783610,795041
291267,737048
569825,902767
641047,780644
65978,865031
233860,349989
111675,467265
689358,1099381
111675,1033086
166742,352827
180628,955197
570612,694147
498239,703663
111675,895242
155168,265361
780644,1191001
187319,935955
206476,1071486
50663,982057
712019,1059756
286055,675835
122433,297216
427531,1149846
380675,830684
443150,452479
22945,351776
452275,1042554
47283,331805
72067,225224
180628,725494
881716,1120385
1134963,1182984
18852,341597
148631,675835
69916,568443
49983,246589
42281,515093
404230,1159726
85292,955197
75211,997629
279844,758030
726544,873090
172545,1188969
405060,807828
150791,977639
615745,1136513
287984,551867
381172,866400
4943,1073850
127779,761128
63417,611017
555754,1134963
177477,760342
837395,1129109
304759,1157566
567826,956143
692775,1195986
547526,993124
751312,1017299
153055,453707
737304,1059756
418013,742514
224432,229077
616379,1147910
815557,910354
499657,1160846
336140,634606
207630,1073850
255074,516210
889067,1198374
311651,751312
18852,74481
330488,1058748
896355,1149846
451843,1040659
292675,674445
5476,697870
188027,277472
94708,444582
84154,130268
529661,1129109
68296,707753
231714,391688
281809,767133
358838,993124
137021,364606
406193,919604
666249,750524
675645,1073591
191681,685492
181972,602189
63135,1131983
726544,732105
128735,1050636
611017,947798
69642,287919
895242,1131810
1126736,1131983
533106,714780
335208,847049
264360,1147910
199230,1084803
367442,393540
969041,988545
712019,737304
817037,1146090
123652,940949
220948,595403
651513,1147910
245660,880265
253594,405512
214249,707753
692775,1123797
418013,851180
852029,1213127
49177,563488
1011370,1195678
729366,1164934
846766,1087353
467265,1131810
1153215,1205365
297190,1133068
300975,738050
180628,365809
161758,168378
767799,893889
18214,340104
242741,1106068
225224,265361
387980,1056318
365356,1129109
412257,1026192
161758,884057
339600,507806
315859,1126736
16240,947798
102089,1073850
311651,639724
432880,1159273
30549,227974
514924,554172
181972,459254
120380,345880
128735,773433
204323,1110120
287984,1026192
506623,691105
97426,929992
402742,688014
301411,737304
88396,410735
452275,476435
469514,863965
843892,1112386
643202,653981
153055,425589
49235,772060
181972,647958
659081,915812
403966,915302
689358,966235
447883,770960
700151,863965
49235,973102
128859,1131983
638687,752497
67134,317453
894755,1106422
544528,692775
197379,853844
310150,672324
74481,760342
763705,1191001
69596,128859
410735,1131810
853266,1176981
155168,1147790
714780,1098976
955633,1157227
186440,474248
388855,691105
468076,1185370
239428,901351
281809,499657
377762,654565
220948,978481
737955,803882
190900,1146042
47803,859285
245448,960558
291903,1197115
40253,164255
259369,1105718
591381,1106068
230489,685492
301411,303333
101492,1148146
227974,1121690
172545,884057
1099381,1167210
48662,164475
707439,945036
602189,647958
298875,1139427
81970,102864
370486,675835
231714,573593
427531,726544
56283,286016
840666,989446
560383,772060
418962,932072
1017233,1160846
187319,341597
416758,806097
62204,228540
444241,695546
84825,1144172
177180,959788
366555,845032
9213,68296
63135,752497
623978,1209471
25174,638687
603533,708271
727261,856645
479820,522756
54473,227974
94732,108091
639724,916774
473826,863965
151827,906496
447371,839967
527898,782367
461105,1017758
806097,891716
197332,910262
93132,440338
350060,672324
256056,704160
49695,693296
885651,1075793
435964,789352
361839,497272
161758,830684
858374,1080096
758344,851410
258892,486357
363047,595403
382431,947523
693722,842630
121921,152356
50739,361657
1123797,1202669
773241,825973
550979,936053
156708,497272
265412,290170
692775,873151
191681,450050
152537,253594
612868,866400
1133381,1158384
953700,1001298
78301,1158931
1071486,1106068
742514,885085
1120760,1136513
6268,485001
123652,1120760
916960,1000797
570612,581047
653981,1052740
16240,611017
42281,618141
54473,299703
354468,586081
586081,773433
304974,1209462
577588,1048089
265412,1124481
231714,1134673
21192,957710
1089100,1184167
191035,384497
695668,709446
98921,234753
956143,1147790
543658,869083
468106,836001
140306,972290
659081,1106842
772166,847798
570065,936689
228540,693296
60252,932308
180045,1094847
815557,1138185
63135,569381
225224,1147790
172545,830684
886603,889067
581047,694147
115528,421594
262815,694147
6363,167972
297758,871400
464916,521003
831835,927807
51521,647192
547526,944678
65676,207630
363047,978481
54473,452275
812460,1210725
269105,443604
148631,1082548
275551,810364
70696,332779
313161,1072822
122433,623181
150791,155168
69296,166742
581962,1146042
358838,944678
50663,698552
381172,612868
56583,485066
250251,809314
470729,532152
13020,151827
269899,545887
231001,613697
386383,1058184
995884,1205365
13020,906496
391371,886603
494609,524809
4943,1050636
491009,608987
1016351,1069564
569381,796994
459931,1060500
382431,958624
118014,132315
693722,1174681
1002170,1195379
413249,559882
738050,866237
177477,935955
574266,772060
40426,1042554
207630,1050636
760342,1113657
364031,1064650
425774,1060500
231714,852029
295618,792263
224905,594216
1117350,1182984
858374,918420
245660,545887
364167,1149846
953700,1121690
230489,450050
623181,847798
29005,50739
771912,1152751
468076,947798
459832,516406
32241,613697
17570,52113
128859,569381
677787,1180312
237804,1012522
151704,693722
59484,759412
286016,358838
567826,973208
62204,295618
455041,659081
120380,792738
186707,1082542
910354,1050553
403966,585269
158213,161758
22993,715180
547526,1036612
707507,959788
706713,1010517
4943,773433
815557,1036926
767799,1069116
88396,635762
72067,567826
166742,798376
65676,762330
153055,444241
54773,177477
712179,1110120
374403,446415
49177,701796
21192,955197
625605,673299
605288,839812
236806,1091112
300333,350060
618141,754324
510622,544528
295618,1124481
110645,122580
54773,106852
69296,947523
641047,693296
358838,1036612
204323,708271
25988,166742
386383,1010517
54473,836413
146938,1144172
804777,1044503
301411,712019
543647,1167210
21192,725494
224870,762330
63135,220928
123652,615745
102089,1050636
509917,636246
701771,894755
1045416,1052055
515093,754324
197379,984303
5476,995884
70469,1131983
206476,1106068
211912,962196
295618,641047
149609,310150
348612,786844
204323,778873
63417,1185370
466648,730155
21192,85292
153055,550427
297216,772166
220948,1182984
181972,812460
428967,559882
75804,403966
4300,453707
1044065,1212230
64846,151827
340104,766615
123652,1200526
265361,977639
643202,758030
64846,906496
751312,1174557
932072,1013172
285949,464826
405512,443604
655666,871488
1136513,1200526
446415,767799
153096,1106422
687784,812460
18214,1119831
231714,1213127
529281,693722
82987,708271
243953,529281
795041,979690
74481,935955
300333,418195
581729,1117550
310697,382042
31931,1131810
631205,772060
64790,301411
468106,1047869
40426,476435
374403,1069116
644180,1010517
631205,973102
148631,543647
693722,1106153
595403,723126
65676,931655
84492,388855
370486,1082548
63135,315859
910354,1106422
895242,1033086
123652,206476
856645,1077555
446921,1203576
376504,1131772
675835,1082548
455041,915812
615745,1106068
37082,1065269
264867,990321
182698,294988
429391,676567
573585,844855
702173,1167210
783610,923098
13020,64846
148631,1099381
416758,891716
124752,535880
128859,220928
32241,601915
459254,602189
231407,233860
550427,652202
594216,723126
668048,1117550
858374,1146755
69296,958624
84825,146938
406193,806628
387980,994513
29775,861401
966235,1115910
40253,325171
224870,931655
572376,1206040
1137173,1151387
146938,388855
335244,760743
577588,1081150
9213,815557
780644,792263
467265,895242
680302,1003037
995884,1133781
685058,701771
21192,365809
259785,803882
262594,836001
25702,1057575
490323,775265
972308,1161659
6221,927847
510622,778978
12107,527214
836413,1001298
347126,894755
152537,269105
366714,733057
69296,1069564
99025,763705
80568,1076125
663154,1004797
286055,757704
499028,1205038
449980,557293
25174,63135
466926,974551
177477,341597
364167,726544
727261,781766
32241,403101
279844,643202
191681,230489
190900,1113657
231407,349989
843707,945616
84825,1173287
172345,522146
459931,809314
284933,354468
379532,536127
304759,955633
581047,1033376
558431,873803
413184,1151387
148631,757704
865766,959248
806097,1015893
476435,1131772
262815,581047
266803,650021
128859,315859
836001,1047869
54473,953700
269899,915812
109559,869083
410735,1033086
577588,1185121
425774,809314
901351,1147790
470729,919604
169836,453815
410735,895242
932308,1195986
806628,1033730
227974,299703
885857,889067
363047,1182984
459254,647958
406193,470729
286055,974408
153096,214249
110355,519141
602183,635271
535708,917546
75068,1075019
315859,1131983
595403,1134963
42281,831517
250251,425774
853844,984303
966235,974408
724654,1103363
962145,1050549
865189,1045416
551127,1184762
161701,309659
415812,997247
265361,956143
868425,1049149
650741,1090948
128859,638687
123652,1136513
106622,479031
134735,982434
609736,613177
653815,1200526
54473,1001298
110020,1140527
148631,286055
647215,917223
5738,409484
49695,228540
398934,561586
111904,1198374
783610,979690
61849,206027
543658,1164725
594216,1134963
1014340,1149576
653854,713552
560842,680302
465666,887210
42281,416758
179139,387006
447640,901003
50739,1124966
685492,915302
557660,860878
39294,71087
661711,886603
230437,755984
1050553,1138185
537793,1059756
49177,756693
171489,188132
616379,996994
262815,348612
111266,881310
30549,1121690
25988,1069564
54773,581962
737955,1202955
529281,581486
63417,947798
836413,1121690
68296,701771
186440,246589
489468,744732
219138,834826
219138,587066
50739,767133
139053,1062551
387980,982057
374076,1169011
231001,405512
560383,631205
195904,584986
611017,962196
370486,543647
522756,1111763
303333,657984
469514,1052740
524,259785
286016,993124
515093,891716
296919,1176981
869083,1164725
5476,955539
152537,601915
137021,971513
264360,996994
531664,836388
354468,773433
310150,1173791
700151,1052740
284933,931655
139024,253594
74481,341597
692775,1202669
873151,1195986
803882,1010517
370486,1099381
902767,1069564
340104,1119831
563488,1150933
93475,560383
1058449,1122472
199230,966955
450360,1070083
618482,918818
119327,743245
675835,1099381
651513,996994
49983,885085
382431,947172
4943,128735
958624,1016351
206027,387980
909904,942020
72067,265361
18852,190900
574506,1082932
361657,1124966
229077,453815
446415,1166277
16240,962196
149781,577922
793834,1190533
581962,1113657
712179,778873
530580,668048
639901,747973
1115910,1167210
888056,910262
227974,1042554
821522,1114502
116937,598728
758030,863965
557660,1033730
703285,851339
152537,403101
80932,1147910
548848,684821
65676,586081
116509,158969
779444,834934
178503,700151
937667,1127748
361657,767133
310150,459931
350060,1173791
560842,1052740
366357,995884
310697,1111763
269899,559932
161758,172545
111904,661711
300829,415736
704160,1059756
190900,760342
297657,1194306
873151,1123797
281813,880265
347126,701771
169045,246589
84492,1173287
413184,843707
916774,1060112
139434,310718
40253,468076
675835,757704
1119211,1151387
9213,1138185
1195485,1200526
224870,586081
995884,1153215
50739,499657
577478,621916
1013131,1130824
847798,894229
823035,1041400
325973,888056
370991,453815
458492,1134963
1160343,1198814
891716,1015893
158341,832284
1478,860878
245660,559932
1058748,1160846
464916,524035
518699,872606
152537,1176622
52403,444582
53560,68345
499657,1124966
416758,618141
981728,1115157
372165,1065772
835116,997247
146938,1173287
1130824,1210449
50396,414814
559932,1180088
981811,1084832
102089,128735
220948,555754
680302,820274
85612,163318
281809,812122
149609,809314
156708,199230
85292,197379
84492,861210
153457,161897
571435,919604
94708,457491
49177,896202
207630,224870
67134,425879
899548,920752
499657,767133
253941,433126
4216,340104
120380,1123797
993197,1193014
128735,284933
574266,631205
243953,842630
155168,977639
40253,63417
285949,486357
299703,376504
398934,1106153
1124966,1160846
725494,860031
1054261,1105342
16240,40253
151827,772060
963160,1210725
249495,653815
69296,1181858
63417,211912
555754,850024
146938,861210
911606,916774
347602,1050700
572376,991583
752497,796994
374076,963483
693722,878347
499657,918424
1036926,1106422
164122,336140
361657,499657
35361,795624
181972,1210725
653981,1003037
526739,629334
325171,468076
238972,896355
806628,919642
67134,193817
52403,313481
54773,1146042
694147,1158384
772060,906496
350528,853844
1005562,1085988
415007,423901
760342,935955
224432,847798
230477,427034
734658,741831
9213,1036926
679765,931624
330488,1160846
388855,1144172
416758,1015893
290170,780644
9091,259785
455,956771
322804,994633
155048,714780
72067,1147790
49983,418013
69296,947172
569381,1090221
170925,898213
598728,691105
102089,224870
880265,1180088
332229,413730
169719,856645
469315,997247
602189,1210725
786844,1033376
679152,841408
550427,695546
187319,190900
262594,990766
701771,910354
70469,638687
88396,1064412
551867,880265
555754,595403
49177,733057
605311,1072391
6909,515093
406193,557660
670112,805714
88396,111675
31931,895242
168378,380675
581962,760342
1013131,1017299
626333,672083
778978,1195986
487752,1103148
304308,1137173
245660,1026192
1124481,1191001
99025,228540
691105,767650
63417,918420
767799,783340
282566,691105
109559,1164725
530065,713339
639454,1037595
40426,227974
689358,1167210
69596,70469
25988,1181858
169836,224432
243953,1174681
581729,869083
52035,561586
363047,555754
1030776,1090924
831517,1011105
29756,1186992
739301,751199
286016,944678
296919,661339
947172,1069564
1478,406193
49235,93475
171489,989839
484123,487925
49177,366714
13020,772060
756693,896202
19706,287673
944678,959248
1099381,1115910
265361,973208
345880,932308
843707,1022702
727549,881621
13020,973102
468076,962196
572376,727261
519141,1206040
25174,69596
711415,1052055
5476,1133246
139024,613697
910262,920752
155168,956143
120380,873151
708271,712179
902767,1181858
721081,1063832
72067,147746
164122,256056
329119,462406
778978,1123797
68296,685058
25988,947172
49235,560383
470729,1033730
197645,224432
78456,664567
557660,919642
860878,919604
219123,350528
49695,792263
366357,955539
1130824,1174557
444241,683357
344552,616379
387980,698552
895085,1130451
962196,1080096
374403,767799
453815,847798
262011,345996
374403,783340
812460,963160
42281,1011105
91124,724843
110355,169719
40253,611017
151704,561586
561426,919604
259785,1202955
737125,799551
150791,483825
347126,910354
187319,1058449
366714,1150933
56283,358838
281813,545887
313481,444582
67134,158213
469514,700151
49695,290170
347263,1182377
214249,685058
270354,997247
40426,452275
537793,712019
286016,1036612
